cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,cm_6_power,cm_7_power,cm_8_power,cm_9_power,cm_10_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
83.076988,188.018581,146.487148,148.006959,79.880616,115.435714,150.538456,92.316822,116.058928,183.265194,13.271301,19.831286,14.744576,12.624671,-7.284959,18.850156,35.811835,20.739306,71.149286,25.055555,15.404427,19.7092,47.521692,36.055181,2.076348,49.406932,11.32164,31.012537,55.83101,21.883594,8.399301,12.455785,17.438038,19.972523,2.114051,20.980374,19.353208,42.078143,25.36404,-5.622713,-3.994185,31.130987,28.115137,61.812161,11.315919,9.353072,66.552607,38.428541,-8.799669,36.026367,26.175531,20.10902,4.958918,16.323483,4.877103,13.229911,57.16906,3.072888,26.074297,0.820626,28.508731,46.399454,54.674925,20.078068,18.910113,0.0,1.0
83.076988,188.018581,146.487148,148.006959,79.880616,115.435714,150.538456,92.316822,116.058928,183.265194,2.79113,19.831286,14.744576,12.624671,-7.284959,18.850156,35.811835,20.739306,71.149286,25.055555,15.404427,19.7092,47.521692,36.055181,2.076348,49.406932,11.32164,31.012537,55.83101,21.883594,8.399301,12.455785,17.438038,19.972523,2.114051,20.980374,19.353208,42.078143,25.36404,-5.622713,-3.994185,31.130987,28.115137,61.812161,11.315919,9.353072,66.552607,38.428541,-8.799669,36.026367,26.175531,20.10902,4.958918,16.323483,4.877103,13.229911,57.16906,3.072888,26.074297,0.820626,28.508731,46.399454,54.674925,20.078068,18.910113,1.0,1.0
101.75106,140.726509,169.32865,126.161907,61.348176,107.874428,130.957895,77.818758,110.757767,101.773384,18.735154,34.490796,11.398373,17.142092,-9.177198,18.977131,30.922578,15.002025,42.681655,25.207684,8.724469,18.091224,39.72559,41.022921,-6.309324,86.895479,7.830346,11.101565,64.218786,17.689763,13.643013,14.254918,4.312829,21.242208,5.932209,16.719197,21.308533,39.395114,29.793333,-8.70353,-7.086587,17.333069,29.702785,41.196869,14.173855,7.096699,56.81426,32.865965,-11.193789,51.070896,12.37034,19.045118,10.739716,14.450056,5.550495,14.404049,30.060181,3.248239,19.314898,3.557236,28.5123,20.595972,22.050882,13.100077,14.687611,0.0,2.0
101.75106,140.726509,169.32865,126.161907,61.348176,107.874428,130.957895,77.818758,110.757767,101.773384,6.236709,34.490796,11.398373,17.142092,-9.177198,18.977131,30.922578,15.002025,42.681655,25.207684,8.724469,18.091224,39.72559,41.022921,-6.309324,86.895479,7.830346,11.101565,64.218786,17.689763,13.643013,14.254918,4.312829,21.242208,5.932209,16.719197,21.308533,39.395114,29.793333,-8.70353,-7.086587,17.333069,29.702785,41.196869,14.173855,7.096699,56.81426,32.865965,-11.193789,51.070896,12.37034,19.045118,10.739716,14.450056,5.550495,14.404049,30.060181,3.248239,19.314898,3.557236,28.5123,20.595972,22.050882,13.100077,14.687611,1.0,2.0
61.682245,168.126205,115.223913,125.822703,78.350363,102.120025,139.167117,73.187189,95.730555,109.86464,0.440475,25.891607,8.379678,14.294745,-11.344729,14.380764,24.256241,9.274182,58.724105,29.080864,15.680901,30.948169,40.927835,29.622472,-5.70492,37.01559,13.270144,16.323796,59.551864,17.620075,9.067256,16.173705,6.042288,18.60281,6.438062,22.466811,24.414384,35.212339,40.364167,-8.032852,-7.573012,23.576869,34.927093,46.898003,7.140643,2.713748,57.246893,34.111554,-12.643657,36.292546,10.636069,17.785932,11.544021,14.382118,5.129351,13.315544,32.702447,8.550757,11.941646,6.63709,30.830688,13.421699,29.128366,12.701606,16.343493,0.0,3.0
61.682245,168.126205,115.223913,125.822703,78.350363,102.120025,139.167117,73.187189,95.730555,109.86464,-10.532007,25.891607,8.379678,14.294745,-11.344729,14.380764,24.256241,9.274182,58.724105,29.080864,15.680901,30.948169,40.927835,29.622472,-5.70492,37.01559,13.270144,16.323796,59.551864,17.620075,9.067256,16.173705,6.042288,18.60281,6.438062,22.466811,24.414384,35.212339,40.364167,-8.032852,-7.573012,23.576869,34.927093,46.898003,7.140643,2.713748,57.246893,34.111554,-12.643657,36.292546,10.636069,17.785932,11.544021,14.382118,5.129351,13.315544,32.702447,8.550757,11.941646,6.63709,30.830688,13.421699,29.128366,12.701606,16.343493,1.0,3.0
87.333713,151.180424,136.612447,194.835995,68.777233,94.955855,175.757981,81.445669,97.180662,123.022355,1.370338,41.707464,10.594854,17.598777,-9.864211,14.026268,22.892044,10.304293,50.018523,24.375108,20.535589,22.905523,38.66846,26.850276,-8.103145,71.278638,7.765807,60.004906,84.891301,14.784467,12.464516,11.746559,9.630711,18.433889,7.183682,51.092329,30.434264,37.949154,38.333756,-7.170276,-9.369919,21.861182,27.992873,39.570185,8.268043,4.102726,54.508942,31.496515,-12.02096,31.719838,10.383203,20.06838,14.625081,15.361804,5.679181,19.076172,38.139939,7.821881,14.861068,19.081734,33.361305,13.705696,22.509689,15.840213,14.81792,0.0,4.0
87.333713,151.180424,136.612447,194.835995,68.777233,94.955855,175.757981,81.445669,97.180662,123.022355,-7.750202,41.707464,10.594854,17.598777,-9.864211,14.026268,22.892044,10.304293,50.018523,24.375108,20.535589,22.905523,38.66846,26.850276,-8.103145,71.278638,7.765807,60.004906,84.891301,14.784467,12.464516,11.746559,9.630711,18.433889,7.183682,51.092329,30.434264,37.949154,38.333756,-7.170276,-9.369919,21.861182,27.992873,39.570185,8.268043,4.102726,54.508942,31.496515,-12.02096,31.719838,10.383203,20.06838,14.625081,15.361804,5.679181,19.076172,38.139939,7.821881,14.861068,19.081734,33.361305,13.705696,22.509689,15.840213,14.81792,1.0,4.0
194.286958,210.696492,200.863542,258.54042,146.113793,148.590214,274.946564,140.506844,128.835342,236.626691,19.00829,52.95588,32.486692,51.587367,0.257357,15.419933,28.145105,17.211596,95.573197,19.497865,22.267798,27.765389,48.478282,33.339451,9.798215,100.009976,9.042677,67.520698,73.993368,21.644258,8.327402,26.946916,57.567144,22.639352,12.360856,70.584746,73.195153,43.135511,28.601952,-1.91521,2.870338,53.350239,39.020035,103.800833,17.384589,12.196707,79.841548,40.295901,-0.987432,53.952491,13.687894,18.202508,13.11088,10.568303,5.361424,49.086904,46.437451,15.615455,17.929612,24.933871,36.128964,16.182438,117.570043,19.118017,17.659403,0.0,5.0
194.286958,210.696492,200.863542,258.54042,146.113793,148.590214,274.946564,140.506844,128.835342,236.626691,8.2058,52.95588,32.486692,51.587367,0.257357,15.419933,28.145105,17.211596,95.573197,19.497865,22.267798,27.765389,48.478282,33.339451,9.798215,100.009976,9.042677,67.520698,73.993368,21.644258,8.327402,26.946916,57.567144,22.639352,12.360856,70.584746,73.195153,43.135511,28.601952,-1.91521,2.870338,53.350239,39.020035,103.800833,17.384589,12.196707,79.841548,40.295901,-0.987432,53.952491,13.687894,18.202508,13.11088,10.568303,5.361424,49.086904,46.437451,15.615455,17.929612,24.933871,36.128964,16.182438,117.570043,19.118017,17.659403,1.0,5.0
