cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
369.80618,322.939107,312.268557,325.991605,316.414011,45.968107,27.713876,42.9946,27.358774,32.90335,29.116501,37.694638,37.394665,35.399507,-3.279725,22.29336,23.320156,11.513142,17.118114,31.976957,65.430428,40.205834,31.754301,65.180733,31.852758,-17.330343,28.078577,13.502502,22.901844,20.600742,75.886333,15.404677,24.010436,19.258113,38.225399,29.04776,21.860659,79.589577,55.388147,26.72862,28.801363,13.911929,32.037655,44.305818,11.155941,18.218118,17.378634,4.956412,32.349662,60.457727,-0.940638,15.348913,5.780574,33.686046,55.813511,33.379715,20.001083,20.344293,23.525509,52.486712,0.0,1.0
369.80618,322.939107,312.268557,325.991605,316.414011,28.86277,27.713876,42.9946,27.358774,32.90335,29.116501,37.694638,37.394665,35.399507,-3.279725,22.29336,23.320156,11.513142,17.118114,31.976957,65.430428,40.205834,31.754301,65.180733,31.852758,-17.330343,28.078577,13.502502,22.901844,20.600742,75.886333,15.404677,24.010436,19.258113,38.225399,29.04776,21.860659,79.589577,55.388147,26.72862,28.801363,13.911929,32.037655,44.305818,11.155941,18.218118,17.378634,4.956412,32.349662,60.457727,-0.940638,15.348913,5.780574,33.686046,55.813511,33.379715,20.001083,20.344293,23.525509,52.486712,1.0,1.0
319.64118,287.130445,330.076738,334.098205,273.288072,46.402592,30.842166,14.738578,39.096772,21.190215,12.346394,39.870369,38.554032,33.882204,-6.935652,18.985452,20.194855,14.388041,19.989592,27.750752,77.899059,39.851535,30.416213,40.409139,31.793186,-34.090602,20.807863,14.151125,19.83819,26.360188,67.145166,16.35038,26.112524,17.40325,44.517111,64.619426,37.965137,50.582774,56.956688,21.649671,23.13537,23.939441,50.730991,38.933714,17.126675,2.176774,15.047198,1.598641,26.867016,53.532866,-1.816892,17.507119,5.888213,29.915999,44.672529,35.081729,21.632504,9.742098,27.947761,41.776833,0.0,2.0
319.64118,287.130445,330.076738,334.098205,273.288072,29.135577,30.842166,14.738578,39.096772,21.190215,12.346394,39.870369,38.554032,33.882204,-6.935652,18.985452,20.194855,14.388041,19.989592,27.750752,77.899059,39.851535,30.416213,40.409139,31.793186,-34.090602,20.807863,14.151125,19.83819,26.360188,67.145166,16.35038,26.112524,17.40325,44.517111,64.619426,37.965137,50.582774,56.956688,21.649671,23.13537,23.939441,50.730991,38.933714,17.126675,2.176774,15.047198,1.598641,26.867016,53.532866,-1.816892,17.507119,5.888213,29.915999,44.672529,35.081729,21.632504,9.742098,27.947761,41.776833,1.0,2.0
378.652188,256.640541,305.533981,324.546022,267.403628,52.008004,39.273947,28.07999,50.961334,22.854744,17.117319,36.368263,51.041622,41.822711,-5.004121,18.893789,15.248893,7.256633,16.24348,23.15187,69.643456,35.119334,28.961211,40.793247,36.99197,-39.738033,20.631316,14.286142,21.551097,20.44513,69.486783,16.352977,25.817264,18.348331,54.055569,25.888007,24.633988,68.176329,52.311559,21.280493,24.074432,20.231911,48.89041,41.202624,18.428713,-4.729781,17.121358,2.265485,17.785086,53.436522,-3.21973,17.788239,14.752,29.155875,44.121851,31.53105,18.127504,13.92696,26.580198,45.442481,0.0,3.0
378.652188,256.640541,305.533981,324.546022,267.403628,32.655142,39.273947,28.07999,50.961334,22.854744,17.117319,36.368263,51.041622,41.822711,-5.004121,18.893789,15.248893,7.256633,16.24348,23.15187,69.643456,35.119334,28.961211,40.793247,36.99197,-39.738033,20.631316,14.286142,21.551097,20.44513,69.486783,16.352977,25.817264,18.348331,54.055569,25.888007,24.633988,68.176329,52.311559,21.280493,24.074432,20.231911,48.89041,41.202624,18.428713,-4.729781,17.121358,2.265485,17.785086,53.436522,-3.21973,17.788239,14.752,29.155875,44.121851,31.53105,18.127504,13.92696,26.580198,45.442481,1.0,3.0
392.744566,324.178476,351.917727,300.442025,356.128361,43.770979,33.739562,17.80048,54.268396,21.051519,13.894225,43.434915,50.271883,69.498019,-8.00575,20.400456,19.468192,8.376435,19.797938,23.778717,101.64581,34.513337,47.184191,50.53258,31.548809,-30.80193,19.002833,14.145857,17.534653,33.469108,66.533562,14.738297,28.446313,21.003462,53.958137,23.108606,9.319092,59.328805,59.957703,24.290215,21.768638,53.947169,51.390502,27.595042,18.856277,2.394531,22.947476,4.219847,22.519034,78.363625,-3.157621,17.663883,16.488062,24.517021,45.739718,32.167671,27.949639,9.482642,31.548425,86.475031,0.0,4.0
392.744566,324.178476,351.917727,300.442025,356.128361,27.483222,33.739562,17.80048,54.268396,21.051519,13.894225,43.434915,50.271883,69.498019,-8.00575,20.400456,19.468192,8.376435,19.797938,23.778717,101.64581,34.513337,47.184191,50.53258,31.548809,-30.80193,19.002833,14.145857,17.534653,33.469108,66.533562,14.738297,28.446313,21.003462,53.958137,23.108606,9.319092,59.328805,59.957703,24.290215,21.768638,53.947169,51.390502,27.595042,18.856277,2.394531,22.947476,4.219847,22.519034,78.363625,-3.157621,17.663883,16.488062,24.517021,45.739718,32.167671,27.949639,9.482642,31.548425,86.475031,1.0,4.0
459.92911,375.264435,445.166825,333.732388,410.504412,47.927742,59.343294,26.291916,32.661778,23.193044,23.57781,38.430207,37.4646,84.395722,10.047454,24.881732,34.180885,17.846079,20.52217,24.150996,81.165453,48.668331,72.61583,53.630508,24.604969,-4.389482,15.843527,14.672445,26.377057,49.695144,86.052092,17.448725,21.515473,18.766961,45.945772,51.299428,19.437677,100.98878,56.934955,25.055118,25.118031,69.646752,38.082182,28.387776,19.314163,5.827037,13.934302,13.932784,22.407682,93.445397,2.235852,14.295242,20.624577,35.279579,52.072859,32.287694,18.005816,20.767828,57.016197,82.183164,0.0,5.0
459.92911,375.264435,445.166825,333.732388,410.504412,30.093199,59.343294,26.291916,32.661778,23.193044,23.57781,38.430207,37.4646,84.395722,10.047454,24.881732,34.180885,17.846079,20.52217,24.150996,81.165453,48.668331,72.61583,53.630508,24.604969,-4.389482,15.843527,14.672445,26.377057,49.695144,86.052092,17.448725,21.515473,18.766961,45.945772,51.299428,19.437677,100.98878,56.934955,25.055118,25.118031,69.646752,38.082182,28.387776,19.314163,5.827037,13.934302,13.932784,22.407682,93.445397,2.235852,14.295242,20.624577,35.279579,52.072859,32.287694,18.005816,20.767828,57.016197,82.183164,1.0,5.0
